filename	quality	word_count	marker_count	paywall_flag
aburto_2011_cabo_pulmo.html	full_text	6589	6	False
beck_2018_coral_flood_protection.html	full_text	11464	6	True
burkepile_2010_herbivore_identity.html	full_text	8424	7	False
carrasquilla_henao_2025_juvenile_fish.html	full_text	16656	6	True
cornwell_2024_thermal_refugia.html	full_text	16684	6	False
costanza_1997_ecosystem_services.html	full_text	5131	3	True
costanza_2014_global_es_update.html	landing_or_metadata	90	0	False
cowen_1983_sheephead_predation.html	abstract_only	1244	3	False
deangelo_2022_kelp_cdr.html	full_text	42288	6	True
donato_2011_mangrove_carbon.html	mostly_full	5422	2	True
drury_2024_assisted_evolution.html	full_text	7224	6	False
duarte_2025_seagrass_carbon_credits.html	full_text	12520	5	True
edgar_2014_nature_mpa_neoli.html	mostly_full	7934	2	True
eger_2023_kelp_global_value.html	full_text	15376	5	True
holstein_2015_caribbean_connectivity.html	full_text	11488	6	False
jakovac_2020_mangrove_conservation_costs.html	landing_or_metadata	94	0	False
krause_jensen_2016_macroalgae_carbon.html	full_text	5889	3	True
lachs_2023_thermal_tolerance.html	full_text	11504	5	True
lovelock_2025_permanence_risks.html	full_text	8202	5	True
macreadie_2023_bahamas_seagrass.html	full_text	11681	6	True
mazarrasa_2025_seagrass_carbon_stocks.html	full_text	12235	5	True
menendez_2020_mangrove_flood_protection.html	full_text	11538	5	True
murdiyarso_2023_indonesia_ef.html	full_text	8538	5	False
nordlund_2023_seagrass_services_review.html	full_text	12535	6	False
ondiviela_2025_wave_attenuation.html	full_text	38441	5	True
oreska_2020_seagrass_ghg_offset.html	full_text	13712	5	True
rasher_2017_fiji_predator_cascade.html	full_text	11480	5	True
roberts_2002_biodiversity_hotspots.html	abstract_only	1432	2	False
roca_2025_seagrass_soil_carbon.html	full_text	11450	5	True
spalding_2017_coral_tourism_value.html	landing_or_metadata	92	0	False
storlazzi_2021_florida_pr_restoration.html	mostly_full	4103	4	False
strydom_2023_seagrass_global_database.html	full_text	7691	6	True
su_2021_mangrove_restoration_meta.html	full_text	15031	5	True
wolff_2022_maui_bleaching_economics.html	landing_or_metadata	91	0	False
zeng_2025_mangrove_restoration_roi.html	full_text	9716	5	True